year,race_recode,count,area_type,statefip,countyfip
2017,Non-Hispanic OAPI,77906,state,utah,
2017,Non-Hispanic OAPI,8083,state,vermont,
2017,Non-Hispanic OAPI,452487,state,virginia,
2017,Non-Hispanic OAPI,489587,state,washington,
2017,Non-Hispanic OAPI,10947,state,west virginia,
2017,Non-Hispanic OAPI,147255,state,wisconsin,
2017,Non-Hispanic OAPI,2989,state,wyoming,
2017,Non-Hispanic Other Race,8484,state,alabama,
2017,Non-Hispanic Other Race,752,state,alaska,
2017,Non-Hispanic Other Race,10041,state,arizona,
2017,Non-Hispanic Other Race,7719,state,arkansas,
2017,Non-Hispanic Other Race,106482,state,california,
2017,Non-Hispanic Other Race,12801,state,colorado,
2017,Non-Hispanic Other Race,13626,state,connecticut,
2017,Non-Hispanic Other Race,1565,state,delaware,
2017,Non-Hispanic Other Race,3101,state,district of columbia,
2017,Non-Hispanic Other Race,76103,state,florida,
2017,Non-Hispanic Other Race,25367,state,georgia,
2017,Non-Hispanic Other Race,2721,state,hawaii,
2017,Non-Hispanic Other Race,2008,state,idaho,
2017,Non-Hispanic Other Race,18926,state,illinois,
2017,Non-Hispanic Other Race,8388,state,indiana,
2017,Non-Hispanic Other Race,3222,state,iowa,
2017,Non-Hispanic Other Race,3651,state,kansas,
2017,Non-Hispanic Other Race,8919,state,kentucky,
2017,Non-Hispanic Other Race,9847,state,louisiana,
2017,Non-Hispanic Other Race,607,state,maine,
2017,Non-Hispanic Other Race,18854,state,maryland,
2017,Non-Hispanic Other Race,60934,state,massachusetts,
2017,Non-Hispanic Other Race,10831,state,michigan,
2017,Non-Hispanic Other Race,7103,state,minnesota,
2017,Non-Hispanic Other Race,3615,state,mississippi,
2017,Non-Hispanic Other Race,11519,state,missouri,
2017,Non-Hispanic Other Race,328,state,montana,
2017,Non-Hispanic Other Race,1122,state,nebraska,
2017,Non-Hispanic Other Race,8102,state,nevada,
2017,Non-Hispanic Other Race,787,state,new hampshire,
2017,Non-Hispanic Other Race,37124,state,new jersey,
2017,Non-Hispanic Other Race,2567,state,new mexico,
2017,Non-Hispanic Other Race,111684,state,new york,
2017,Non-Hispanic Other Race,22861,state,north carolina,
2017,Non-Hispanic Other Race,998,state,north dakota,
2017,Non-Hispanic Other Race,22183,state,ohio,
2017,Non-Hispanic Other Race,5463,state,oklahoma,
2017,Non-Hispanic Other Race,5380,state,oregon,
2017,Non-Hispanic Other Race,25798,state,pennsylvania,
2017,Non-Hispanic Other Race,8067,state,rhode island,
2017,Non-Hispanic Other Race,8575,state,south carolina,
2017,Non-Hispanic Other Race,1496,state,south dakota,
2017,Non-Hispanic Other Race,10401,state,tennessee,
2017,Non-Hispanic Other Race,50989,state,texas,
2017,Non-Hispanic Other Race,6907,state,utah,
2017,Non-Hispanic Other Race,205,state,vermont,
2017,Non-Hispanic Other Race,18857,state,virginia,
2017,Non-Hispanic Other Race,16352,state,washington,
2017,Non-Hispanic Other Race,4868,state,west virginia,
2017,Non-Hispanic Other Race,10434,state,wisconsin,
2017,Non-Hispanic Other Race,228,state,wyoming,
2017,Non-Hispanic White,3190177,state,alabama,
2017,Non-Hispanic White,448515,state,alaska,
2017,Non-Hispanic White,3838387,state,arizona,
2017,Non-Hispanic White,2172696,state,arkansas,
2017,Non-Hispanic White,14614060,state,california,
2017,Non-Hispanic White,3822061,state,colorado,
2017,Non-Hispanic White,2395384,state,connecticut,
2017,Non-Hispanic White,596935,state,delaware,
2017,Non-Hispanic White,253437,state,district of columbia,
2017,Non-Hispanic White,11293806,state,florida,
2017,Non-Hispanic White,5485883,state,georgia,
2017,Non-Hispanic White,310556,state,hawaii,
2017,Non-Hispanic White,1406262,state,idaho,
2017,Non-Hispanic White,7836338,state,illinois,
2017,Non-Hispanic White,5280692,state,indiana,
2017,Non-Hispanic White,2699794,state,iowa,
2017,Non-Hispanic White,2209145,state,kansas,
2017,Non-Hispanic White,3767862,state,kentucky,
2017,Non-Hispanic White,2738220,state,louisiana,
2017,Non-Hispanic White,1247710,state,maine,
2017,Non-Hispanic White,3067538,state,maryland,
2017,Non-Hispanic White,4906707,state,massachusetts,
2017,Non-Hispanic White,7478728,state,michigan,
2017,Non-Hispanic White,4454021,state,minnesota,
2017,Non-Hispanic White,1687356,state,mississippi,
2017,Non-Hispanic White,4853966,state,missouri,
2017,Non-Hispanic White,906077,state,montana,
2017,Non-Hispanic White,1518212,state,nebraska,
2017,Non-Hispanic White,1462818,state,nevada,
2017,Non-Hispanic White,1213110,state,new hampshire,
2017,Non-Hispanic White,4939554,state,new jersey,
2017,Non-Hispanic White,781712,state,new mexico,
2017,Non-Hispanic White,10936423,state,new york,
2017,Non-Hispanic White,6474273,state,north carolina,
2017,Non-Hispanic White,637332,state,north dakota,
2017,Non-Hispanic White,9204844,state,ohio,
2017,Non-Hispanic White,2578034,state,oklahoma,
2017,Non-Hispanic White,3135064,state,oregon,
2017,Non-Hispanic White,9782551,state,pennsylvania,
2017,Non-Hispanic White,763771,state,rhode island,
2017,Non-Hispanic White,3196205,state,south carolina,
2017,Non-Hispanic White,715994,state,south dakota,
2017,Non-Hispanic White,4963044,state,tennessee,
2017,Non-Hispanic White,11856635,state,texas,
2017,Non-Hispanic White,2426848,state,utah,
2017,Non-Hispanic White,578445,state,vermont,
2017,Non-Hispanic White,5226056,state,virginia,
2017,Non-Hispanic White,5078186,state,washington,
2017,Non-Hispanic White,1670770,state,west virginia,
2017,Non-Hispanic White,4707990,state,wisconsin,
2017,Non-Hispanic White,487210,state,wyoming,
2018,Hispanic AIAN,1706,state,alabama,
2018,Hispanic AIAN,2962,state,alaska,
2018,Hispanic AIAN,52679,state,arizona,
2018,Hispanic AIAN,4584,state,arkansas,
2018,Hispanic AIAN,174468,state,california,
2018,Hispanic AIAN,23398,state,colorado,
2018,Hispanic AIAN,5046,state,connecticut,
2018,Hispanic AIAN,1285,state,delaware,
2018,Hispanic AIAN,740,state,district of columbia,
2018,Hispanic AIAN,20371,state,florida,
2018,Hispanic AIAN,18725,state,georgia,
2018,Hispanic AIAN,991,state,hawaii,
2018,Hispanic AIAN,3847,state,idaho,
2018,Hispanic AIAN,15210,state,illinois,
2018,Hispanic AIAN,3719,state,indiana,
2018,Hispanic AIAN,2850,state,iowa,
2018,Hispanic AIAN,7553,state,kansas,
2018,Hispanic AIAN,1813,state,kentucky,
2018,Hispanic AIAN,2971,state,louisiana,
2018,Hispanic AIAN,114,state,maine,
2018,Hispanic AIAN,3251,state,maryland,
2018,Hispanic AIAN,5739,state,massachusetts,
2018,Hispanic AIAN,8311,state,michigan,
2018,Hispanic AIAN,5162,state,minnesota,
2018,Hispanic AIAN,738,state,mississippi,
2018,Hispanic AIAN,4250,state,missouri,
2018,Hispanic AIAN,2197,state,montana,
2018,Hispanic AIAN,5529,state,nebraska,
2018,Hispanic AIAN,14616,state,nevada,
2018,Hispanic AIAN,28,state,new hampshire,
2018,Hispanic AIAN,15154,state,new jersey,
2018,Hispanic AIAN,19774,state,new mexico,
2018,Hispanic AIAN,38649,state,new york,
2018,Hispanic AIAN,11442,state,north carolina,
2018,Hispanic AIAN,2041,state,north dakota,
2018,Hispanic AIAN,6497,state,ohio,
2018,Hispanic AIAN,16224,state,oklahoma,
2018,Hispanic AIAN,6811,state,oregon,
2018,Hispanic AIAN,8662,state,pennsylvania,
2018,Hispanic AIAN,1417,state,rhode island,
2018,Hispanic AIAN,7936,state,south carolina,
2018,Hispanic AIAN,3410,state,south dakota,
2018,Hispanic AIAN,3053,state,tennessee,
2018,Hispanic AIAN,84391,state,texas,
2018,Hispanic AIAN,7732,state,utah,
2018,Hispanic AIAN,4918,state,virginia,
2018,Hispanic AIAN,19487,state,washington,
2018,Hispanic AIAN,2383,state,wisconsin,
2018,Hispanic AIAN,1016,state,wyoming,
2018,Hispanic Black,7886,state,alabama,
2018,Hispanic Black,931,state,alaska,
2018,Hispanic Black,28516,state,arizona,
2018,Hispanic Black,2386,state,arkansas,
2018,Hispanic Black,102106,state,california,
2018,Hispanic Black,14610,state,colorado,
2018,Hispanic Black,33623,state,connecticut,
2018,Hispanic Black,6249,state,delaware,
2018,Hispanic Black,8701,state,district of columbia,
2018,Hispanic Black,155470,state,florida,
2018,Hispanic Black,37741,state,georgia,
2018,Hispanic Black,1214,state,hawaii,
2018,Hispanic Black,1984,state,idaho,
2018,Hispanic Black,36337,state,illinois,
2018,Hispanic Black,8559,state,indiana,
2018,Hispanic Black,1247,state,iowa,
2018,Hispanic Black,6973,state,kansas,
2018,Hispanic Black,5780,state,kentucky,
2018,Hispanic Black,11580,state,louisiana,
2018,Hispanic Black,454,state,maine,
2018,Hispanic Black,31698,state,maryland,
2018,Hispanic Black,51877,state,massachusetts,
2018,Hispanic Black,14841,state,michigan,
2018,Hispanic Black,5522,state,minnesota,
2018,Hispanic Black,4914,state,mississippi,
2018,Hispanic Black,5212,state,missouri,
2018,Hispanic Black,239,state,montana,
2018,Hispanic Black,1264,state,nebraska,
2018,Hispanic Black,11429,state,nevada,
2018,Hispanic Black,3217,state,new hampshire,
2018,Hispanic Black,71295,state,new jersey,
2018,Hispanic Black,7385,state,new mexico,
2018,Hispanic Black,285728,state,new york,
2018,Hispanic Black,38662,state,north carolina,
2018,Hispanic Black,869,state,north dakota,
2018,Hispanic Black,19648,state,ohio,
2018,Hispanic Black,4330,state,oklahoma,
2018,Hispanic Black,4839,state,oregon,
2018,Hispanic Black,69256,state,pennsylvania,
2018,Hispanic Black,9840,state,rhode island,
2018,Hispanic Black,8367,state,south carolina,
2018,Hispanic Black,6,state,south dakota,
2018,Hispanic Black,14166,state,tennessee,
2018,Hispanic Black,121498,state,texas,
2018,Hispanic Black,3866,state,utah,
2018,Hispanic Black,58,state,vermont,
2018,Hispanic Black,32005,state,virginia,
2018,Hispanic Black,9553,state,washington,
2018,Hispanic Black,789,state,west virginia,
2018,Hispanic Black,5723,state,wisconsin,
2018,Hispanic Black,105,state,wyoming,
2018,Hispanic Chinese,21,state,alaska,
2018,Hispanic Chinese,1719,state,arizona,
2018,Hispanic Chinese,10695,state,california,
2018,Hispanic Chinese,257,state,connecticut,
2018,Hispanic Chinese,384,state,district of columbia,
2018,Hispanic Chinese,3677,state,florida,
2018,Hispanic Chinese,352,state,georgia,
2018,Hispanic Chinese,141,state,hawaii,
2018,Hispanic Chinese,285,state,illinois,
2018,Hispanic Chinese,379,state,indiana,
2018,Hispanic Chinese,224,state,kansas,
2018,Hispanic Chinese,307,state,louisiana,
2018,Hispanic Chinese,592,state,maine,
2018,Hispanic Chinese,290,state,maryland,
2018,Hispanic Chinese,475,state,massachusetts,
2018,Hispanic Chinese,130,state,mississippi,
2018,Hispanic Chinese,795,state,nevada,
2018,Hispanic Chinese,96,state,new hampshire,
2018,Hispanic Chinese,1273,state,new jersey,
2018,Hispanic Chinese,272,state,new mexico,
2018,Hispanic Chinese,2705,state,new york,
2018,Hispanic Chinese,407,state,north carolina,
2018,Hispanic Chinese,333,state,ohio,
2018,Hispanic Chinese,21,state,oregon,
2018,Hispanic Chinese,471,state,pennsylvania,
2018,Hispanic Chinese,673,state,rhode island,
2018,Hispanic Chinese,38,state,south carolina,
2018,Hispanic Chinese,3784,state,texas,
2018,Hispanic Chinese,7,state,utah,
2018,Hispanic Chinese,423,state,virginia,
2018,Hispanic Chinese,403,state,washington,
2018,Hispanic Chinese,228,state,wisconsin,
2018,Hispanic Japanese,119,state,arizona,
2018,Hispanic Japanese,9572,state,california,
2018,Hispanic Japanese,300,state,colorado,
2018,Hispanic Japanese,200,state,connecticut,
2018,Hispanic Japanese,1171,state,florida,
2018,Hispanic Japanese,171,state,georgia,
2018,Hispanic Japanese,1007,state,hawaii,
2018,Hispanic Japanese,279,state,idaho,
2018,Hispanic Japanese,274,state,illinois,
2018,Hispanic Japanese,76,state,indiana,
2018,Hispanic Japanese,153,state,louisiana,
2018,Hispanic Japanese,175,state,maryland,
2018,Hispanic Japanese,245,state,michigan,
2018,Hispanic Japanese,409,state,minnesota,
2018,Hispanic Japanese,182,state,missouri,
2018,Hispanic Japanese,508,state,nevada,
2018,Hispanic Japanese,1656,state,new jersey,
2018,Hispanic Japanese,123,state,new mexico,
2018,Hispanic Japanese,1206,state,new york,
2018,Hispanic Japanese,293,state,north carolina,
2018,Hispanic Japanese,334,state,ohio,
2018,Hispanic Japanese,226,state,oregon,
2018,Hispanic Japanese,684,state,pennsylvania,
2018,Hispanic Japanese,36,state,tennessee,
2018,Hispanic Japanese,1490,state,texas,
2018,Hispanic Japanese,352,state,utah,
2018,Hispanic Japanese,1051,state,virginia,
2018,Hispanic Japanese,857,state,washington,
2018,Hispanic Japanese,1060,state,wisconsin,
2018,Hispanic OAPI,142,state,alabama,
2018,Hispanic OAPI,160,state,alaska,
2018,Hispanic OAPI,6349,state,arizona,
2018,Hispanic OAPI,1464,state,arkansas,
2018,Hispanic OAPI,71122,state,california,
2018,Hispanic OAPI,2798,state,colorado,
2018,Hispanic OAPI,1968,state,connecticut,
2018,Hispanic OAPI,219,state,delaware,
2018,Hispanic OAPI,452,state,district of columbia,
2018,Hispanic OAPI,11615,state,florida,
2018,Hispanic OAPI,7059,state,georgia,
2018,Hispanic OAPI,23325,state,hawaii,
2018,Hispanic OAPI,1761,state,idaho,
2018,Hispanic OAPI,9636,state,illinois,
2018,Hispanic OAPI,262,state,indiana,
2018,Hispanic OAPI,951,state,iowa,
2018,Hispanic OAPI,796,state,kansas,
2018,Hispanic OAPI,554,state,kentucky,
2018,Hispanic OAPI,1534,state,louisiana,
2018,Hispanic OAPI,5874,state,maryland,
2018,Hispanic OAPI,4359,state,massachusetts,
2018,Hispanic OAPI,1571,state,michigan,
2018,Hispanic OAPI,2161,state,minnesota,
2018,Hispanic OAPI,85,state,mississippi,
2018,Hispanic OAPI,1028,state,missouri,
2018,Hispanic OAPI,373,state,montana,
2018,Hispanic OAPI,495,state,nebraska,
2018,Hispanic OAPI,7171,state,nevada,
2018,Hispanic OAPI,156,state,new hampshire,
2018,Hispanic OAPI,5931,state,new jersey,
2018,Hispanic OAPI,1566,state,new mexico,
2018,Hispanic OAPI,15331,state,new york,
2018,Hispanic OAPI,4720,state,north carolina,
2018,Hispanic OAPI,121,state,north dakota,
2018,Hispanic OAPI,2478,state,ohio,
2018,Hispanic OAPI,815,state,oklahoma,
2018,Hispanic OAPI,2486,state,oregon,
2018,Hispanic OAPI,4339,state,pennsylvania,
2018,Hispanic OAPI,979,state,rhode island,
2018,Hispanic OAPI,593,state,south carolina,
2018,Hispanic OAPI,424,state,south dakota,
2018,Hispanic OAPI,2019,state,tennessee,
2018,Hispanic OAPI,12890,state,texas,
2018,Hispanic OAPI,1167,state,utah,
2018,Hispanic OAPI,52,state,vermont,
2018,Hispanic OAPI,4611,state,virginia,
2018,Hispanic OAPI,7543,state,washington,
2018,Hispanic OAPI,1587,state,wisconsin,
2018,Hispanic OAPI,356,state,wyoming,
2018,Hispanic Other Multiple,8137,state,alabama,
2018,Hispanic Other Multiple,8274,state,alaska,
2018,Hispanic Other Multiple,118828,state,arizona,
2018,Hispanic Other Multiple,11358,state,arkansas,
2018,Hispanic Other Multiple,803731,state,california,
2018,Hispanic Other Multiple,85328,state,colorado,
2018,Hispanic Other Multiple,38997,state,connecticut,
2018,Hispanic Other Multiple,3781,state,delaware,
2018,Hispanic Other Multiple,4520,state,district of columbia,
2018,Hispanic Other Multiple,185145,state,florida,
2018,Hispanic Other Multiple,56743,state,georgia,
2018,Hispanic Other Multiple,69409,state,hawaii,
2018,Hispanic Other Multiple,11902,state,idaho,
2018,Hispanic Other Multiple,80907,state,illinois,
2018,Hispanic Other Multiple,36537,state,indiana,
2018,Hispanic Other Multiple,7375,state,iowa,
2018,Hispanic Other Multiple,17764,state,kansas,
2018,Hispanic Other Multiple,11821,state,kentucky,
2018,Hispanic Other Multiple,12635,state,louisiana,
2018,Hispanic Other Multiple,2530,state,maine,
2018,Hispanic Other Multiple,39809,state,maryland,
2018,Hispanic Other Multiple,76806,state,massachusetts,
2018,Hispanic Other Multiple,38519,state,michigan,
2018,Hispanic Other Multiple,22558,state,minnesota,
2018,Hispanic Other Multiple,3521,state,mississippi,
2018,Hispanic Other Multiple,13986,state,missouri,
2018,Hispanic Other Multiple,3792,state,montana,
2018,Hispanic Other Multiple,12705,state,nebraska,
2018,Hispanic Other Multiple,44491,state,nevada,
2018,Hispanic Other Multiple,5268,state,new hampshire,
2018,Hispanic Other Multiple,91226,state,new jersey,
2018,Hispanic Other Multiple,34968,state,new mexico,
2018,Hispanic Other Multiple,238638,state,new york,
2018,Hispanic Other Multiple,45000,state,north carolina,
2018,Hispanic Other Multiple,1198,state,north dakota,
2018,Hispanic Other Multiple,46679,state,ohio,
2018,Hispanic Other Multiple,33628,state,oklahoma,
2018,Hispanic Other Multiple,41452,state,oregon,
2018,Hispanic Other Multiple,67751,state,pennsylvania,
2018,Hispanic Other Multiple,8592,state,rhode island,
2018,Hispanic Other Multiple,19226,state,south carolina,
2018,Hispanic Other Multiple,3155,state,south dakota,
2018,Hispanic Other Multiple,18174,state,tennessee,
2018,Hispanic Other Multiple,271287,state,texas,
2018,Hispanic Other Multiple,29560,state,utah,
2018,Hispanic Other Multiple,1087,state,vermont,
2018,Hispanic Other Multiple,60689,state,virginia,
2018,Hispanic Other Multiple,80967,state,washington,
2018,Hispanic Other Multiple,2108,state,west virginia,
2018,Hispanic Other Multiple,26464,state,wisconsin,
2018,Hispanic Other Multiple,3452,state,wyoming,
2018,Hispanic Other Race,74807,state,alabama,
2018,Hispanic Other Race,11454,state,alaska,
2018,Hispanic Other Race,364770,state,arizona,
2018,Hispanic Other Race,79827,state,arkansas,
2018,Hispanic Other Race,5343171,state,california,
2018,Hispanic Other Race,182584,state,colorado,
2018,Hispanic Other Race,185013,state,connecticut,
2018,Hispanic Other Race,17711,state,delaware,
2018,Hispanic Other Race,26802,state,district of columbia,
2018,Hispanic Other Race,630521,state,florida,
2018,Hispanic Other Race,266780,state,georgia,
2018,Hispanic Other Race,17956,state,hawaii,
2018,Hispanic Other Race,58909,state,idaho,
2018,Hispanic Other Race,691697,state,illinois,
2018,Hispanic Other Race,149888,state,indiana,
2018,Hispanic Other Race,24544,state,iowa,
2018,Hispanic Other Race,74914,state,kansas,
2018,Hispanic Other Race,39851,state,kentucky,
2018,Hispanic Other Race,56829,state,louisiana,
2018,Hispanic Other Race,1827,state,maine,
2018,Hispanic Other Race,271565,state,maryland,
2018,Hispanic Other Race,252245,state,massachusetts,
2018,Hispanic Other Race,106936,state,michigan,
2018,Hispanic Other Race,96821,state,minnesota,
2018,Hispanic Other Race,26110,state,mississippi,
2018,Hispanic Other Race,45475,state,missouri,
2018,Hispanic Other Race,7104,state,montana,
2018,Hispanic Other Race,47962,state,nebraska,
2018,Hispanic Other Race,350921,state,nevada,
2018,Hispanic Other Race,8075,state,new hampshire,
2018,Hispanic Other Race,566268,state,new jersey,
2018,Hispanic Other Race,139401,state,new mexico,
2018,Hispanic Other Race,1596275,state,new york,
2018,Hispanic Other Race,315250,state,north carolina,
2018,Hispanic Other Race,7405,state,north dakota,
2018,Hispanic Other Race,88643,state,ohio,
2018,Hispanic Other Race,105806,state,oklahoma,
2018,Hispanic Other Race,136974,state,oregon,
2018,Hispanic Other Race,288665,state,pennsylvania,
2018,Hispanic Other Race,46970,state,rhode island,
2018,Hispanic Other Race,78676,state,south carolina,
2018,Hispanic Other Race,4199,state,south dakota,
2018,Hispanic Other Race,81625,state,tennessee,
2018,Hispanic Other Race,1673221,state,texas,
2018,Hispanic Other Race,153322,state,utah,
2018,Hispanic Other Race,1949,state,vermont,
2018,Hispanic Other Race,188229,state,virginia,
2018,Hispanic Other Race,334344,state,washington,
2018,Hispanic Other Race,3877,state,west virginia,
2018,Hispanic Other Race,118363,state,wisconsin,
2018,Hispanic Other Race,9511,state,wyoming,
2018,Hispanic White,118844,state,alabama,
2018,Hispanic White,29327,state,alaska,
2018,Hispanic White,1693821,state,arizona,
2018,Hispanic White,130897,state,arkansas,
2018,Hispanic White,9025638,state,california,
2018,Hispanic White,925391,state,colorado,
2018,Hispanic White,325161,state,connecticut,
2018,Hispanic White,62789,state,delaware,
2018,Hispanic White,37513,state,district of columbia,
2018,Hispanic White,4554441,state,florida,
2018,Hispanic White,632464,state,georgia,
2018,Hispanic White,38131,state,hawaii,
2018,Hispanic White,144106,state,idaho,
2018,Hispanic White,1375096,state,illinois,
2018,Hispanic White,273103,state,indiana,
2018,Hispanic White,154328,state,iowa,
2018,Hispanic White,240263,state,kansas,
2018,Hispanic White,102743,state,kentucky,
2018,Hispanic White,153513,state,louisiana,
2018,Hispanic White,16464,state,maine,
2018,Hispanic White,276109,state,maryland,
2018,Hispanic White,455464,state,massachusetts,
2018,Hispanic White,344149,state,michigan,
2018,Hispanic White,170400,state,minnesota,
2018,Hispanic White,51348,state,mississippi,
2018,Hispanic White,180690,state,missouri,
2018,Hispanic White,28156,state,montana,
2018,Hispanic White,147162,state,nebraska,
2018,Hispanic White,451015,state,nevada,
2018,Hispanic White,35890,state,new hampshire,
2018,Hispanic White,1086490,state,new jersey,
2018,Hispanic White,825478,state,new mexico,
2018,Hispanic White,1572592,state,new york,
2018,Hispanic White,578493,state,north carolina,
2018,Hispanic White,15268,state,north dakota,
2018,Hispanic White,287013,state,ohio,
2018,Hispanic White,268573,state,oklahoma,
2018,Hispanic White,363266,state,oregon,
2018,Hispanic White,531934,state,pennsylvania,
2018,Hispanic White,100270,state,rhode island,
2018,Hispanic White,179476,state,south carolina,
2018,Hispanic White,23080,state,south dakota,
2018,Hispanic White,254043,state,tennessee,
2018,Hispanic White,9198169,state,texas,
2018,Hispanic White,253751,state,utah,
2018,Hispanic White,8948,state,vermont,
2018,Hispanic White,521634,state,virginia,
2018,Hispanic White,516697,state,washington,
2018,Hispanic White,17762,state,west virginia,
2018,Hispanic White,247375,state,wisconsin,
2018,Hispanic White,43113,state,wyoming,
2018,Non-Hispanic AIAN,19231,state,alabama,
2018,Non-Hispanic AIAN,113793,state,alaska,
2018,Non-Hispanic AIAN,279373,state,arizona,
2018,Non-Hispanic AIAN,17746,state,arkansas,
2018,Non-Hispanic AIAN,128060,state,california,
2018,Non-Hispanic AIAN,30590,state,colorado,
2018,Non-Hispanic AIAN,5121,state,connecticut,
2018,Non-Hispanic AIAN,3332,state,delaware,
2018,Non-Hispanic AIAN,1289,state,district of columbia,
2018,Non-Hispanic AIAN,40803,state,florida,
2018,Non-Hispanic AIAN,17575,state,georgia,
2018,Non-Hispanic AIAN,1609,state,hawaii,
2018,Non-Hispanic AIAN,19559,state,idaho,
2018,Non-Hispanic AIAN,15741,state,illinois,
2018,Non-Hispanic AIAN,9494,state,indiana,
2018,Non-Hispanic AIAN,9489,state,iowa,
2018,Non-Hispanic AIAN,17280,state,kansas,
2018,Non-Hispanic AIAN,6329,state,kentucky,
2018,Non-Hispanic AIAN,23090,state,louisiana,
2018,Non-Hispanic AIAN,5787,state,maine,
2018,Non-Hispanic AIAN,9681,state,maryland,
2018,Non-Hispanic AIAN,11569,state,massachusetts,
2018,Non-Hispanic AIAN,49283,state,michigan,
2018,Non-Hispanic AIAN,55041,state,minnesota,
2018,Non-Hispanic AIAN,12604,state,mississippi,
2018,Non-Hispanic AIAN,21954,state,missouri,
2018,Non-Hispanic AIAN,64541,state,montana,
2018,Non-Hispanic AIAN,13099,state,nebraska,
2018,Non-Hispanic AIAN,29875,state,nevada,
2018,Non-Hispanic AIAN,2631,state,new hampshire,
2018,Non-Hispanic AIAN,9423,state,new jersey,
2018,Non-Hispanic AIAN,183898,state,new mexico,
2018,Non-Hispanic AIAN,47868,state,new york,
2018,Non-Hispanic AIAN,106583,state,north carolina,
2018,Non-Hispanic AIAN,38710,state,north dakota,
2018,Non-Hispanic AIAN,20110,state,ohio,
2018,Non-Hispanic AIAN,297990,state,oklahoma,
2018,Non-Hispanic AIAN,41535,state,oregon,
2018,Non-Hispanic AIAN,13265,state,pennsylvania,
2018,Non-Hispanic AIAN,2728,state,rhode island,
2018,Non-Hispanic AIAN,15449,state,south carolina,
2018,Non-Hispanic AIAN,77544,state,south dakota,
2018,Non-Hispanic AIAN,15263,state,tennessee,
2018,Non-Hispanic AIAN,71647,state,texas,
2018,Non-Hispanic AIAN,29983,state,utah,
2018,Non-Hispanic AIAN,2560,state,vermont,
2018,Non-Hispanic AIAN,18095,state,virginia,
2018,Non-Hispanic AIAN,80427,state,washington,
2018,Non-Hispanic AIAN,1845,state,west virginia,
2018,Non-Hispanic AIAN,45840,state,wisconsin,
2018,Non-Hispanic AIAN,14154,state,wyoming,
2018,Non-Hispanic Black,1305775,state,alabama,
2018,Non-Hispanic Black,22507,state,alaska,
2018,Non-Hispanic Black,313866,state,arizona,
2018,Non-Hispanic Black,457735,state,arkansas,
2018,Non-Hispanic Black,2178408,state,california,
2018,Non-Hispanic Black,224018,state,colorado,
2018,Non-Hispanic Black,358414,state,connecticut,
2018,Non-Hispanic Black,210279,state,delaware,
2018,Non-Hispanic Black,312039,state,district of columbia,
2018,Non-Hispanic Black,3259903,state,florida,
2018,Non-Hispanic Black,3282580,state,georgia,
2018,Non-Hispanic Black,25714,state,hawaii,
2018,Non-Hispanic Black,10230,state,idaho,
2018,Non-Hispanic Black,1755626,state,illinois,
2018,Non-Hispanic Black,631559,state,indiana,
2018,Non-Hispanic Black,109760,state,iowa,
2018,Non-Hispanic Black,162717,state,kansas,
2018,Non-Hispanic Black,350407,state,kentucky,
2018,Non-Hispanic Black,1493560,state,louisiana,
2018,Non-Hispanic Black,18360,state,maine,
2018,Non-Hispanic Black,1780664,state,maryland,
2018,Non-Hispanic Black,486778,state,massachusetts,
2018,Non-Hispanic Black,1370103,state,michigan,
2018,Non-Hispanic Black,369163,state,minnesota,
2018,Non-Hispanic Black,1131926,state,mississippi,
2018,Non-Hispanic Black,702492,state,missouri,
2018,Non-Hispanic Black,4276,state,montana,
2018,Non-Hispanic Black,86548,state,nebraska,
2018,Non-Hispanic Black,267638,state,nevada,
2018,Non-Hispanic Black,17118,state,new hampshire,
2018,Non-Hispanic Black,1144928,state,new jersey,
2018,Non-Hispanic Black,39631,state,new mexico,
2018,Non-Hispanic Black,2788349,state,new york,
2018,Non-Hispanic Black,2187604,state,north carolina,
2018,Non-Hispanic Black,24485,state,north dakota,
2018,Non-Hispanic Black,1435058,state,ohio,
2018,Non-Hispanic Black,283850,state,oklahoma,
2018,Non-Hispanic Black,77860,state,oregon,
2018,Non-Hispanic Black,1354512,state,pennsylvania,
2018,Non-Hispanic Black,60984,state,rhode island,
2018,Non-Hispanic Black,1348493,state,south carolina,
2018,Non-Hispanic Black,20065,state,south dakota,
2018,Non-Hispanic Black,1127851,state,tennessee,
2018,Non-Hispanic Black,3405846,state,texas,
2018,Non-Hispanic Black,37243,state,utah,
2018,Non-Hispanic Black,6930,state,vermont,
2018,Non-Hispanic Black,1605130,state,virginia,
2018,Non-Hispanic Black,281448,state,washington,
2018,Non-Hispanic Black,70726,state,west virginia,
2018,Non-Hispanic Black,369116,state,wisconsin,
2018,Non-Hispanic Black,3009,state,wyoming,
2018,Non-Hispanic Chinese,10813,state,alabama,
2018,Non-Hispanic Chinese,3471,state,alaska,
2018,Non-Hispanic Chinese,45636,state,arizona,
2018,Non-Hispanic Chinese,3483,state,arkansas,
2018,Non-Hispanic Chinese,1608160,state,california,
2018,Non-Hispanic Chinese,33798,state,colorado,
2018,Non-Hispanic Chinese,38294,state,connecticut,
2018,Non-Hispanic Chinese,9256,state,delaware,
2018,Non-Hispanic Chinese,7632,state,district of columbia,
2018,Non-Hispanic Chinese,103834,state,florida,
2018,Non-Hispanic Chinese,65995,state,georgia,
2018,Non-Hispanic Chinese,60585,state,hawaii,
